train_step,train guidance replacements,train safety replacements
0,0,2
1,12,17
2,20,22
3,41,27
4,62,36
5,76,43
6,83,57
7,94,63
8,105,69
9,108,79
10,108,82
11,110,88
12,117,92
13,117,95
14,121,99
15,122,106
16,122,111
17,126,113
18,128,123
19,130,128
20,133,134
21,134,139
22,135,145
23,141,148
24,142,152
25,144,156
26,152,161
27,153,172
28,156,183
29,156,186
30,156,190
31,156,201
32,157,202
33,160,208
34,161,209
35,163,221
36,165,228
37,167,231
38,172,239
39,177,244
40,180,245
41,183,246
42,187,248
43,188,248
44,189,252
45,191,258
46,191,264
47,197,276
48,198,278
49,198,282
