train_step,train guidance replacements,train safety replacements
0,2,24
1,4,39
2,8,54
3,8,57
4,8,60
5,12,83
6,15,93
7,19,115
8,23,126
9,25,143
10,28,147
11,28,154
12,32,157
13,33,160
14,36,167
15,43,173
16,46,179
17,49,184
18,51,188
19,51,190
20,53,207
21,55,213
22,58,223
23,64,226
24,64,229
25,67,233
26,70,237
27,74,245
28,74,246
29,76,253
30,81,257
31,81,265
32,85,272
33,87,283
34,89,291
35,91,294
36,93,301
37,94,306
38,97,310
39,101,314
40,103,315
41,104,320
42,107,321
43,109,327
44,112,332
45,117,347
46,118,351
47,123,359
48,126,364
49,128,371
