train_step,train guidance replacements,train safety replacements
0,7,6
1,21,20
2,29,25
3,50,30
4,71,33
5,85,41
6,88,50
7,99,55
8,106,61
9,109,70
10,109,73
11,112,79
12,119,84
13,122,85
14,127,88
15,128,95
16,128,99
17,129,111
18,133,113
19,134,121
20,135,125
21,136,131
22,138,135
23,144,140
24,145,148
25,145,155
26,145,165
27,150,176
28,150,177
29,153,179
30,156,181
31,158,190
32,159,190
33,159,194
34,160,201
35,167,207
36,172,213
37,180,222
38,186,231
39,186,233
40,188,236
41,196,239
42,196,249
43,198,264
44,199,275
45,199,282
46,201,285
47,207,306
48,208,308
49,208,312
