train_step,train guidance replacements,train safety replacements
0,3,11
1,5,29
2,11,42
3,12,55
4,19,71
5,20,80
6,22,100
7,25,124
8,27,134
9,28,137
10,31,138
11,32,143
12,32,157
13,34,163
14,37,172
15,43,173
16,46,173
17,48,176
18,53,185
19,58,193
20,59,202
21,63,212
22,65,216
23,67,221
24,69,224
25,69,233
26,70,244
27,72,255
28,72,258
29,72,262
30,72,272
31,75,273
32,79,278
33,82,280
34,83,283
35,86,286
36,88,293
37,90,305
38,95,315
39,95,317
40,97,321
41,98,322
42,101,331
43,103,344
44,105,356
45,110,363
46,115,368
47,117,383
48,117,387
49,123,387
