train_step,train guidance replacements,train safety replacements
0,19,7
1,42,14
2,57,28
3,74,35
4,89,37
5,102,42
6,105,45
7,122,51
8,122,55
9,136,63
10,147,72
11,151,83
12,156,95
13,160,107
14,162,117
15,164,120
16,168,121
17,168,128
18,169,132
19,172,137
20,175,142
21,178,148
22,184,155
23,186,161
24,188,173
25,189,190
26,191,197
27,192,202
28,196,207
29,197,213
30,197,216
31,197,225
32,197,227
33,200,241
34,206,249
35,211,258
36,217,266
37,222,270
38,225,271
39,229,272
40,232,274
41,233,274
42,234,279
43,235,285
44,235,291
45,240,305
46,241,307
47,241,311
48,242,316
49,246,325
