train_step,train guidance replacements,train safety replacements
0,5,6
1,8,8
2,23,15
3,46,23
4,62,33
5,69,47
6,85,54
7,104,63
8,104,67
9,110,79
10,119,89
11,121,92
12,121,93
13,129,96
14,138,97
15,139,107
16,139,116
17,142,128
18,146,138
19,148,142
20,151,147
21,154,152
22,157,159
23,162,167
24,164,171
25,166,182
26,167,199
27,169,207
28,170,211
29,172,215
30,173,221
31,173,224
32,173,232
33,173,234
34,175,248
35,181,255
36,185,264
37,190,273
38,195,279
39,198,280
40,202,281
41,205,283
42,206,283
43,207,286
44,208,292
45,208,298
46,214,310
47,215,312
48,215,316
49,216,321
