train_step,train guidance replacements,train safety replacements
0,5,26
1,8,38
2,11,60
3,12,71
4,15,84
5,20,95
6,21,120
7,23,130
8,25,150
9,27,159
10,29,167
11,31,168
12,35,173
13,38,178
14,38,188
15,41,190
16,42,195
17,43,203
18,44,205
19,47,210
20,50,218
21,50,229
22,55,241
23,59,247
24,63,256
25,66,258
26,69,261
27,71,265
28,72,271
29,75,275
30,75,285
31,79,286
32,81,292
33,82,293
34,86,304
35,87,313
36,89,319
37,92,326
38,95,332
39,97,333
40,98,335
41,100,337
42,101,337
43,102,341
44,107,349
45,108,355
46,110,369
47,111,372
48,115,376
49,121,381
