train_step,train guidance replacements,train safety replacements
0,2,14
1,3,22
2,5,39
3,7,53
4,11,69
5,15,99
6,20,123
7,21,130
8,22,137
9,25,145
10,26,154
11,29,166
12,33,170
13,35,173
14,41,175
15,43,175
16,46,181
17,48,186
18,50,189
19,55,194
20,56,201
21,58,211
22,62,216
23,62,223
24,63,237
25,68,243
26,69,245
27,74,248
28,76,249
29,76,257
30,76,260
31,79,263
32,84,266
33,87,270
34,91,279
35,93,283
36,97,284
37,100,286
38,104,288
39,108,290
40,111,296
41,115,310
42,116,321
43,118,328
44,121,330
45,124,350
46,126,352
47,129,356
48,133,360
49,135,370
